,Amenity,Quantity
3,Wifi,6406
11," ""Essentials""",5797
81,Kitchen,5342
51,TV,5103
14," ""Hot water""",4944
1," ""Dishes and silverware""",4824
41," ""Hair dryer""",4805
43,Coffee,4702
2," ""Hangers""",4667
8," ""Long term stays allowed""",4652
44," ""Iron""",4484
18,Central heating,4462
50,"[""Smoke alarm""",4227
0,Bed linen,4165
9,Shampoo,4147
80," ""Cooking basics""",4035
23,Parking,3809
34," ""Carbon monoxide alarm""",3414
78," ""Washer""",3357
75," ""Dishwasher""",3267
4," ""Fire extinguisher""",3258
33," ""First aid kit""",2981
71," ""Refrigerator""]",2960
76," ""Oven""",2933
5," ""Microwave""",2909
6," ""Private entrance""",2905
22," ""Dedicated workspace""",2826
74," ""Stove""",2429
45,Shower gel,2355
32," ""Cleaning products""",2344
35," ""Extra pillows and blankets""",2208
69," ""Dining table""",2167
67," ""Wine glasses""",2154
36," ""Hot water kettle""",2080
92," ""Freezer""",1887
13," ""Luggage dropoff allowed""",1869
16," ""Host greets you""",1847
57," ""Private patio or balcony""",1803
72," ""Dryer""",1648
26," ""Outdoor furniture""",1644
17," ""Refrigerator""",1623
46," ""Drying rack for clothing""",1604
21," ""Smoke alarm""",1596
86," ""Bathtub""",1463
24," ""Room-darkening shades""",1455
64," ""Outdoor dining area""",1424
48,Backyard,1419
31," ""Central heating""",1329
42," ""Laundromat nearby""",1276
104,Free washer,1273
54," ""Self check-in""",1216
90," ""Toaster""",1168
20,"[""Books and reading material""",1147
105,Free dryer,1126
37,Wardrobe,1123
12," ""Waterfront""",1092
39," ""Portable fans""",1057
89,Conditioner,1026
77," ""Patio or balcony""",1012
38," ""Single level home""",956
15," ""Lock on bedroom door""",939
106," ""Blender""",936
130," ""Baking sheet""",926
85,Children books and toys,924
99," ""Lockbox""",894
112,Stove,870
107," ""BBQ grill""",829
70,Closet,815
68," ""Canal view""",785
73," ""Pets allowed""",772
29," ""Ethernet connection""",755
83," ""Board games""",746
79,Air conditioning,731
30,Sound System,725
40," ""Garden view""",722
91," ""High chair""",651
82,Crib,645
119,Fireplace,641
98," ""EV charger""",593
88," ""Children\u2019s dinnerware""",565
109,Oven,552
28," ""Mini fridge""",507
125,Netflix,496
101," ""Elevator""",489
27," ""Security cameras on property""",432
103," ""Barbecue utensils""",426
56," ""City skyline view""",412
87," ""Pack \u2019n play/Travel crib""",374
84," ""Babysitter recommendations""",372
95," ""Courtyard view""",358
61," ""Private living room""",338
94," ""Pocket wifi""",330
136," ""Changing table""",319
53,Bike,290
108," ""Cleaning available during stay""",276
127," ""Outlet covers""",270
63," ""Lake access""",255
59," ""Breakfast""",253
7," ""Smoking allowed""",241
102," ""Piano""",238
138," ""Sound system""",237
215," ""Carbon monoxide alarm""]",236
96,Refrigerator,221
116," standard cable""",219
49," ""Mosquito net""]",204
129," ""Shared patio or balcony""",204
118," ""Baby safety gates""",201
