;Amenity;Quantity
3;Wifi;6737
43;Coffee;6468
11; Essentials;5797
83;Kitchen;5393
51;TV;5221
14; Hot water;4944
1; Dishes and silverware;4824
41; Hair dryer;4805
2; Hangers;4667
8; Long term stays allowed;4652
44; Iron;4484
18;Central heating;5791
50;Smoke alarm;5823
0;Bed linen;4165
9;Shampoo;4150
82; Cooking basics;4035
45;Shower gel;3870
34; Carbon monoxide alarm;3414
80; Washer;3357
77; Dishwasher;3267
4; Fire extinguisher;3258
33; First aid kit;2981
73; Refrigerator;4583
78; Oven;3485
5; Microwave;2909
6; Private entrance;2905
22; Dedicated workspace;2826
23;Paid parking;2590
76; Stove;3301
32; Cleaning products;2344
35; Extra pillows and blankets;2208
71; Dining table;2167
69; Wine glasses;2154
36; Hot water kettle;2080
94; Freezer;1887
13; Luggage dropoff allowed;1869
16; Host greets you;1847
58; Private patio or balcony;1803
74; Dryer;1648
26; Outdoor furniture;1644
46; Drying rack for clothing;1604
88; Bathtub;1463
24; Room-darkening shades;1455
66; Outdoor dining area;1424
48;Backyard;1419
42; Laundromat nearby;1276
106;Free washer;1273
37;Wardrobe;1219
55; Self check-in;1216
92; Toaster;1168
20;Books and reading material;1147
107;Free dryer;1126
12; Waterfront;1092
39; Portable fans;1057
91;Conditioner;1026
79; Patio or balcony;1012
38; Single level home;956
15; Lock on bedroom door;939
108; Blender;936
134; Baking sheet;926
87;Children books and toys;924
59; Paid street parking off premises;906
100; Lockbox;894
72;Closet;835
109; BBQ grill;829
70; Canal view;785
75; Pets allowed;772
29; Ethernet connection;755
85; Board games;746
30;Sound System;725
40; Garden view;722
121;Fireplace;701
93; High chair;651
84;Crib;645
132; Free parking on premises;625
99; EV charger;593
90; Children\u2019s dinnerware;565
28; Mini fridge;507
128;Netflix;496
103; Elevator;489
81; Air conditioning;480
27; Security cameras on property;432
52; Free street parking;428
105; Barbecue utensils;426
57; City skyline view;412
89;Travel crib;374
86; Babysitter recommendations;372
96; Courtyard view;358
63; Private living room;338
140; Changing table;319
54;Bike;295
110; Cleaning available during stay;276
130; Outlet covers;270
65; Lake access;255
61; Breakfast;253
7; Smoking allowed;241
104; Piano;238
142; Sound system;237
