,host_id,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,2594559,4.85,4.88,4.83,4.93,4.9,4.78,4.72
1,3159,4.89,4.93,4.99,4.97,4.98,4.69,4.81
2,59484,4.44,4.69,4.79,4.63,4.62,4.87,4.49
3,97647,4.94,4.93,4.95,4.95,4.92,4.89,4.79
4,124245,4.88,4.93,4.89,4.95,4.94,4.97,4.83
5,124245,4.79,4.88,4.85,4.91,4.91,4.88,4.77
6,194779,4.72,4.68,4.45,4.95,4.9,4.68,4.5
7,225987,4.92,4.92,4.91,4.95,4.97,4.98,4.78
8,231946,4.87,4.9,4.88,4.87,4.85,4.94,4.83
9,264178,4.86,4.91,4.86,4.95,4.98,4.95,4.8
10,301340,4.91,4.94,4.88,5.0,4.94,4.68,4.59
11,436145,4.77,4.74,4.82,4.85,4.79,4.95,4.58
12,186729,4.5,4.58,4.3,4.77,4.72,4.92,4.44
13,494281,4.77,4.87,4.65,4.84,4.85,4.91,4.68
14,195859,4.59,4.67,4.88,4.73,4.75,4.33,4.47
15,670266,4.76,4.79,4.71,4.96,4.87,4.83,4.63
16,748161,4.76,4.76,4.81,4.81,4.86,4.33,4.52
17,776296,4.76,4.82,4.66,4.9,4.92,4.69,4.53
18,436145,4.59,4.66,4.77,4.77,4.7,4.96,4.39
19,806976,5.0,5.0,5.0,5.0,5.0,4.96,4.96
20,815989,4.75,4.82,4.77,4.96,4.97,4.73,4.75
21,856540,4.55,4.76,4.38,4.83,4.9,4.66,4.43
22,907405,4.65,4.7,4.81,4.84,4.87,4.49,4.51
23,915591,4.79,4.87,4.82,4.94,4.96,4.94,4.66
24,1100324,4.86,4.85,4.24,4.95,5.0,4.86,4.62
25,1107389,4.82,4.87,4.77,4.88,4.84,4.89,4.74
26,1135329,4.88,5.0,4.88,5.0,5.0,5.0,4.56
27,1155595,4.71,4.82,4.77,4.87,4.88,4.54,4.54
28,1005087,4.84,4.91,4.89,4.86,4.88,4.97,4.61
29,1298735,4.87,4.93,4.89,4.94,4.95,4.86,4.75
30,1322517,4.92,4.92,4.92,4.85,5.0,4.92,4.77
31,1337537,4.94,4.94,4.87,4.98,4.94,5.0,4.67
32,1344947,4.87,4.89,4.94,4.9,4.89,4.78,4.69
33,1376607,4.83,4.83,4.86,4.98,4.95,4.69,4.66
34,1435990,4.85,4.86,4.88,4.95,4.86,4.49,4.72
35,1436134,4.95,4.87,4.83,4.88,4.93,4.93,4.73
36,1451657,4.51,4.54,4.55,4.71,4.84,4.72,4.1
37,1491565,4.9,4.96,4.92,4.93,4.91,4.92,4.8
38,1491565,4.86,4.93,4.91,4.93,4.9,4.92,4.76
39,1511330,4.87,4.93,4.84,4.93,4.92,4.76,4.72
40,276068,4.77,4.77,4.67,4.88,4.83,4.9,4.6
41,1565319,4.55,4.85,4.06,4.91,4.86,4.85,4.44
42,1141485,4.61,4.68,4.61,4.84,4.87,4.9,4.65
43,176944339,4.87,4.81,4.71,4.85,4.88,4.58,4.48
44,1141485,4.5,5.0,5.0,5.0,5.0,5.0,5.0
45,1141485,4.77,4.71,4.71,4.94,4.91,4.91,4.69
46,1600010,4.76,4.72,4.79,4.9,4.92,4.93,4.59
47,1672823,4.94,4.91,4.91,4.98,4.99,4.91,4.84
48,1687595,4.88,4.88,4.64,4.92,4.88,4.79,4.75
49,1740785,4.89,4.88,4.88,4.97,4.98,4.88,4.75
50,1775032,4.33,5.0,4.67,5.0,5.0,5.0,4.33
51,1811745,4.87,4.9,4.83,4.93,4.97,4.95,4.75
52,1849988,4.74,4.82,4.74,4.84,4.88,4.92,4.64
53,1853421,5.0,4.93,4.87,4.93,5.0,5.0,4.73
